D_T,DateTime,Date,null2,Time,Prev,Curr,null3,duration,btc,eth,ch4,,,,
2021-01-03_13.50.03,2021-01-03 13:50:03,2021-01-03,13.50.03,13:50:03,,,,,25027,644.72,0,,,,
2021-01-03_13.50.24,2021-01-03 13:50:24,2021-01-03,13.50.24,13:50:24,0,0,1,0,25027,644.72,0,2021-01-03 3:50:00 PM,45,,
2021-01-03_13.50.41,2021-01-03 13:50:41,2021-01-03,13.50.41,13:50:41,0,0,1,0,25027,644.72,0,2021-01-03 5:50:00 PM,,,
2021-01-03_13.50.59,2021-01-03 13:50:59,2021-01-03,13.50.59,13:50:59,0,0,1,0,25027,644.72,0,2021-01-03 7:50:00 PM,,3120,
2021-01-03_13.51.18,2021-01-03 13:51:18,2021-01-03,13.51.18,13:51:18,0,1,1,0,25008,644.72,0,2021-01-03 9:50:00 PM,,,
2021-01-03_13.51.35,2021-01-03 13:51:35,2021-01-03,13.51.35,13:51:35,1,1,1,15,25008,644.72,0,2021-01-03 11:50:00 PM,,total time on toilet,total methane (ppm)
2021-01-03_13.51.52,2021-01-03 13:51:52,2021-01-03,13.51.52,13:51:52,1,1,1,15,25008,644.72,0,,,00:52:00,308
2021-01-03_13.52.09,2021-01-03 13:52:09,2021-01-03,13.52.09,13:52:09,1,1,1,15,25008,644.72,0,,,,
2021-01-03_13.52.28,2021-01-03 13:52:28,2021-01-03,13.52.28,13:52:28,1,0,1,0,25008,646.18,0,,,,
2021-01-03_13.52.46,2021-01-03 13:52:46,2021-01-03,13.52.46,13:52:46,0,0,1,0,25008,646.18,0,,,,
2021-01-03_13.53.02,2021-01-03 13:53:02,2021-01-03,13.53.02,13:53:02,0,0,1,0,25008,646.18,0,,,,
2021-01-03_13.53.19,2021-01-03 13:53:19,2021-01-03,13.53.19,13:53:19,0,0,1,0,25008,646.18,0,,,,
2021-01-03_13.53.37,2021-01-03 13:53:37,2021-01-03,13.53.37,13:53:37,0,0,1,0,25008,646.18,0,,,,
2021-01-03_13.53.54,2021-01-03 13:53:54,2021-01-03,13.53.54,13:53:54,0,0,1,0,25008,646.18,0,,,,
2021-01-03_13.54.11,2021-01-03 13:54:11,2021-01-03,13.54.11,13:54:11,0,0,1,0,25008,646.18,0,,,,
2021-01-03_13.54.30,2021-01-03 13:54:30,2021-01-03,13.54.30,13:54:30,0,0,1,0,25008,646.18,0,,,,
