Hour,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,mean
8,24473.7193343183,23315.714285714286,24141.708136877358,25389.154929577464,27294.050505050505,28462.061728395063,29556.03896103896,30150.909090909092,26597.919621485125
9,24473.7193343183,23066.555555555555,24141.708136877358,25102.473170731708,27380.079207920793,28509.222929936306,29870.748768472906,30279.10243902439,26602.951192854664
10,24473.7193343183,21827.710784313724,24141.708136877358,25204.52657004831,27463.0,29382.75879396985,29847.32474226804,30060.956310679612,26550.2130840594
11,24473.7193343183,22044.980952380953,23257.20408163265,25586.2,27537.577319587628,30236.34375,30042.950276243093,29500.371287128713,26584.91837516142
12,24473.7193343183,22716.83653846154,23458.951690821257,25670.422535211266,27981.935,30539.807106598986,30012.41584158416,29252.799019607843,26763.360883325415
13,24956.323529411766,22789.10576923077,23376.221153846152,25531.26213592233,28185.024390243903,30378.744680851065,30220.38888888889,29520.06077348066,26869.64141523444
14,24891.615384615383,23289.808823529413,23286.700483091787,25803.175384770722,28336.82266009852,30374.15706806283,30315.20512820513,29794.033153471715,27011.43976073069
15,24509.9375,23506.879396984925,23735.06829268293,25537.72680412371,28392.29,30342.566844919787,30028.604060913705,29794.033153471715,26980.888256637096
16,24552.102040816328,23043.711229946523,23839.00495049505,25720.64077669903,28957.751295336788,30320.1164021164,29823.851485148516,29794.033153471715,27006.401416753793
17,24133.32,22953.326315789473,23906.057416267944,25694.11650485437,29167.697297297298,30439.69191919192,29823.463054187192,29794.033153471715,26988.96320763249
18,24003.038834951458,22871.241379310344,24332.246376811596,25848.328282828283,28818.344660194176,30036.176767676767,30009.696078431374,29794.033153471715,26964.138191709466
19,23984.2,22856.89736647432,24769.96153846154,26120.920792079207,28522.049019607843,29817.497487437187,30066.775609756096,29794.033153471715,26991.54187091099
20,24503.497607655503,22856.89736647432,24822.971014492752,25872.886597938144,28779.157894736843,29413.743718592967,29956.06862745098,29794.033153471715,26999.906997601654
21,24754.373205741627,22856.89736647432,24909.336585365854,26517.41052631579,28344.120733073734,29289.866336633662,30112.14358974359,29794.033153471715,27072.272687102537
22,24527.028846153848,22856.89736647432,25127.778846153848,26580.670520231215,29340.64285714286,29700.617486338797,29946.061538461538,29794.033153471715,27234.216326803515
23,24395.47572815534,22856.89736647432,25020.703349282296,26670.890625,29005.38888888889,30088.379310344826,29807.91129032258,29794.033153471715,27204.959963992496
